,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,2015-01-05,600436,Æ¬×Ðñ¥,88.45,89.33,86.23,87.7,87.68,0.77,0.8782,1.6967,2729803.0,239847585.0,14230241897.0,14230241897.0
1,2015-01-06,600436,Æ¬×Ðñ¥,91.97,93.93,87.62,88.34,88.45,3.52,3.9796,3.9159,6300101.0,576734641.0,14796555650.3,14796555650.3
2,2015-01-07,600436,Æ¬×Ðñ¥,90.0,91.45,89.8,91.38,91.97,-1.97,-2.142,1.7468,2810318.0,254007938.0,14479613010.0,14479613010.0
3,2015-01-08,600436,Æ¬×Ðñ¥,89.84,91.65,89.57,89.57,90.0,-0.16,-0.1778,1.3581,2185001.0,197512609.0,14453871475.8,14453871475.8
4,2015-01-09,600436,Æ¬×Ðñ¥,88.47,90.58,88.4,89.89,89.84,-1.37,-1.5249,1.2204,1963503.0,175337166.0,14233459588.8,14233459588.8
5,2015-01-12,600436,Æ¬×Ðñ¥,88.77,89.09,87.2,88.0,88.47,0.3,0.3391,0.9079,1460644.0,128526177.0,14281724965.5,14281724965.5
6,2015-01-13,600436,Æ¬×Ðñ¥,90.0,90.56,88.62,88.77,88.77,1.23,1.3856,1.1229,1806573.0,162197121.0,14479613010.0,14479613010.0
7,2015-01-14,600436,Æ¬×Ðñ¥,88.79,89.94,88.7,89.94,90.0,-1.21,-1.3444,0.8273,1330937.0,118453496.0,14284942657.3,14284942657.3
8,2015-01-15,600436,Æ¬×Ðñ¥,88.25,89.2,87.71,88.86,88.79,-0.54,-0.6082,0.766,1232424.0,108544465.0,14198064979.2,14198064979.2
9,2015-01-16,600436,Æ¬×Ðñ¥,88.75,88.98,87.73,88.01,88.25,0.5,0.5666,0.9516,1531051.0,135277772.0,14278507273.8,14278507273.8
10,2015-01-19,600436,Æ¬×Ðñ¥,90.02,91.84,86.26,87.78,88.75,1.27,1.431,3.0465,4901335.0,442663746.0,14482830701.8,14482830701.8
11,2015-01-20,600436,Æ¬×Ðñ¥,91.87,92.36,89.6,89.6,90.02,1.85,2.0551,1.9631,3158404.0,289881772.0,14780467191.4,14780467191.4
12,2015-01-21,600436,Æ¬×Ðñ¥,91.59,92.6,91.27,92.01,91.87,-0.28,-0.3048,1.5619,2512790.0,230577013.0,14735419506.5,14735419506.5
13,2015-01-22,600436,Æ¬×Ðñ¥,95.28,95.8,91.9,91.9,91.59,3.69,4.0288,2.8747,4625025.0,437174770.0,15329083639.9,15329083639.9
14,2015-01-23,600436,Æ¬×Ðñ¥,94.83,95.79,94.74,95.45,95.28,-0.45,-0.4723,1.6604,2671328.0,254406831.0,15256685574.9,15256685574.9
15,2015-01-26,600436,Æ¬×Ðñ¥,98.81,99.5,94.78,94.78,94.83,3.98,4.197,2.3954,3853821.0,379825058.0,15897006239.1,15897006239.1
16,2015-01-27,600436,Æ¬×Ðñ¥,100.4,102.3,98.18,98.42,98.81,1.59,1.6091,1.8989,3055022.0,306642846.0,16152812735.6,16152812735.6
17,2015-01-28,600436,Æ¬×Ðñ¥,99.53,102.09,98.81,100.0,100.4,-0.87,-0.8665,1.0566,1699887.0,170036673.0,16012843143.2,16012843143.2
18,2015-01-29,600436,Æ¬×Ðñ¥,96.86,100.88,96.81,99.48,99.53,-2.67,-2.6826,1.0649,1713280.0,169665244.0,15583281290.5,15583281290.5
19,2015-01-30,600436,Æ¬×Ðñ¥,97.87,101.0,96.31,97.98,96.86,1.01,1.0427,1.1867,1909270.0,188040915.0,15745774725.4,15745774725.4
20,2015-02-02,600436,Æ¬×Ðñ¥,103.47,104.15,97.0,97.0,97.87,5.6,5.7219,2.3479,3777394.0,385120105.0,16646728423.8,16646728423.8
21,2015-02-03,600436,Æ¬×Ðñ¥,103.92,107.49,102.25,103.5,103.47,0.45,0.4349,1.7013,2737166.0,287918108.0,16719126488.9,16719126488.9
22,2015-02-04,600436,Æ¬×Ðñ¥,101.02,104.55,99.06,104.5,103.92,-2.9,-2.7906,1.9047,3064316.0,308878410.0,16252561180.8,16252561180.8
23,2015-02-05,600436,Æ¬×Ðñ¥,99.03,102.32,99.0,100.69,101.02,-1.99,-1.9699,0.8894,1430918.0,143617595.0,15932400848.7,15932400848.7
24,2015-02-06,600436,Æ¬×Ðñ¥,99.75,100.95,98.0,98.79,99.03,0.72,0.7271,0.8084,1300574.0,129615531.0,16048237752.8,16048237752.8
25,2015-02-09,600436,Æ¬×Ðñ¥,102.97,104.89,99.01,99.77,99.75,3.22,3.2281,0.9648,1552205.0,158963564.0,16566286129.3,16566286129.3
26,2015-02-10,600436,Æ¬×Ðñ¥,101.74,103.25,100.5,103.0,102.97,-1.23,-1.1945,0.7482,1203813.0,123086423.0,16368398084.9,16368398084.9
27,2015-02-11,600436,Æ¬×Ðñ¥,102.65,103.55,100.91,101.6,101.74,0.91,0.8944,0.682,1097208.0,112359243.0,16514803060.9,16514803060.9
28,2015-02-12,600436,Æ¬×Ðñ¥,100.87,102.98,98.69,102.64,102.65,-1.78,-1.734,1.1132,1790938.0,179199130.0,16228428492.4,16228428492.4
29,2015-02-13,600436,Æ¬×Ðñ¥,100.43,102.55,99.92,100.48,100.87,-0.44,-0.4362,0.8369,1346434.0,136204072.0,16157639273.3,16157639273.3
30,2015-02-16,600436,Æ¬×Ðñ¥,100.12,102.3,99.39,100.0,100.43,-0.31,-0.3087,0.7799,1254802.0,126159266.0,16107765050.7,16107765050.7
31,2015-02-17,600436,Æ¬×Ðñ¥,101.43,102.06,100.3,100.95,100.12,1.31,1.3084,0.9181,1477051.0,149649135.0,16318523862.3,16318523862.3
32,2015-02-25,600436,Æ¬×Ðñ¥,99.12,101.98,98.88,101.56,101.43,-2.31,-2.2774,0.8131,1308142.0,130681103.0,15946880461.7,15946880461.7
33,2015-02-26,600436,Æ¬×Ðñ¥,99.87,99.99,98.78,99.54,99.12,0.75,0.7567,0.6584,1059265.0,105249812.0,16067543903.4,16067543903.4
34,2015-02-27,600436,Æ¬×Ðñ¥,100.16,101.1,99.0,99.87,99.87,0.29,0.2904,0.6276,1009700.0,101188183.0,16114200434.2,16114200434.2
35,2015-03-02,600436,Æ¬×Ðñ¥,99.01,100.9,98.27,100.9,100.16,-1.15,-1.1482,1.2316,1981504.0,195670438.0,15929183156.9,15929183156.9
36,2015-03-03,600436,Æ¬×Ðñ¥,97.9,99.5,97.86,98.5,99.01,-1.11,-1.1211,0.8619,1386657.0,136671031.0,15750601263.1,15750601263.1
37,2015-03-04,600436,Æ¬×Ðñ¥,101.92,101.98,98.0,98.59,97.9,4.02,4.1062,1.2623,2030791.0,202625835.0,16397357310.9,16397357310.9
38,2015-03-05,600436,Æ¬×Ðñ¥,100.77,103.39,99.99,101.9,101.92,-1.15,-1.1283,0.9314,1498505.0,152076968.0,16212340033.5,16212340033.5
39,2015-03-06,600436,Æ¬×Ðñ¥,99.68,101.0,98.8,100.78,100.77,-1.09,-1.0817,0.7433,1195894.0,119524045.0,16036975831.5,16036975831.5
40,2015-03-09,600436,Æ¬×Ðñ¥,101.08,101.5,97.42,99.51,99.68,1.4,1.4045,1.2104,1947290.0,192374909.0,16262214256.1,16262214256.1
41,2015-03-10,600436,Æ¬×Ðñ¥,100.77,101.25,99.9,100.28,101.08,-0.31,-0.3067,0.6629,1066495.0,107557241.0,16212340033.5,16212340033.5
42,2015-03-11,600436,Æ¬×Ðñ¥,102.5,102.5,100.11,100.77,100.77,1.73,1.7168,0.9949,1600664.0,162411972.0,16490670372.5,16490670372.5
43,2015-03-12,600436,Æ¬×Ðñ¥,112.75,112.75,103.0,103.0,102.5,10.25,10.0,3.1558,5077165.0,560237809.0,18139737409.8,18139737409.8
44,2015-03-13,600436,Æ¬×Ðñ¥,112.92,114.69,108.0,113.69,112.75,0.17,0.1508,1.6329,2627083.0,294607362.0,18167087789.9,18167087789.9
