,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,2015-01-05,601288,农业银行,3.89,3.92,3.72,3.76,3.71,0.18,4.8518,0.5069,1440479628.0,5486170796.0,1263449115130.0,1105396128580.0
1,2015-01-06,601288,农业银行,3.95,4.13,3.78,3.81,3.89,0.06,1.5424,0.5311,1509285929.0,5975994849.0,1282936762150.0,1122445940330.0
2,2015-01-07,601288,农业银行,3.89,3.99,3.82,3.9,3.95,-0.06,-1.519,0.339,963318748.0,3760354654.0,1263449115130.0,1105396128580.0
3,2015-01-08,601288,农业银行,3.73,3.93,3.71,3.9,3.89,-0.16,-4.1131,0.2976,845680805.0,3190135133.0,1211482056410.0,1059929963900.0
4,2015-01-09,601288,农业银行,3.76,4.02,3.64,3.7,3.73,0.03,0.8043,0.5803,1649017796.0,6249768775.0,1221225879920.0,1068454869780.0
5,2015-01-12,601288,农业银行,3.67,3.76,3.6,3.7,3.76,-0.09,-2.3936,0.2905,825547123.0,3037866101.0,1191994409390.0,1042880152150.0
6,2015-01-13,601288,农业银行,3.66,3.7,3.62,3.65,3.67,-0.01,-0.2725,0.154,437598437.0,1603502133.0,1188746468220.0,1040038516860.0
7,2015-01-14,601288,农业银行,3.73,3.79,3.67,3.67,3.66,0.07,1.9126,0.2288,650140985.0,2427109298.0,1211482056410.0,1059929963900.0
8,2015-01-15,601288,农业银行,3.86,3.87,3.68,3.72,3.73,0.13,3.4853,0.2816,800204224.0,3024979991.0,1253705291620.0,1096871222700.0
9,2015-01-16,601288,农业银行,3.94,3.99,3.86,3.89,3.86,0.08,2.0725,0.3533,1003820022.0,3950040328.0,1279688820980.0,1119604305040.0
10,2015-01-19,601288,农业银行,3.55,3.78,3.55,3.67,3.94,-0.39,-9.8985,0.3604,1024136180.0,3735646996.0,1153019115350.0,1008780528650.0
11,2015-01-20,601288,农业银行,3.57,3.64,3.48,3.53,3.55,0.02,0.5634,0.2642,750624506.0,2672988844.0,1159514997690.0,1014463799230.0
12,2015-01-21,601288,农业银行,3.77,3.82,3.55,3.59,3.57,0.2,5.6022,0.3562,1012054031.0,3720674894.0,1224473821090.0,1071296505070.0
13,2015-01-22,601288,农业银行,3.73,3.76,3.66,3.76,3.77,-0.04,-1.061,0.2485,706251415.0,2627961940.0,1211482056410.0,1059929963900.0
14,2015-01-23,601288,农业银行,3.74,3.84,3.71,3.74,3.73,0.01,0.2681,0.3156,896948135.0,3374609117.0,1214729997580.0,1062771599200.0
15,2015-01-26,601288,农业银行,3.71,3.73,3.65,3.73,3.74,-0.03,-0.8021,0.1897,539173270.0,1988524394.0,1204986174070.0,1054246693320.0
16,2015-01-27,601288,农业银行,3.62,3.71,3.55,3.71,3.71,-0.09,-2.4259,0.2344,666068061.0,2413402917.0,1175754703540.0,1028671975690.0
17,2015-01-28,601288,农业银行,3.58,3.65,3.56,3.59,3.62,-0.04,-1.105,0.1326,376861155.0,1355516550.0,1162762938860.0,1017305434530.0
18,2015-01-29,601288,农业银行,3.5,3.55,3.47,3.51,3.58,-0.08,-2.2346,0.1848,525151028.0,1841374149.0,1136779409500.0,994572352190.0
