time,code,close,high,low,open,pre-close,change_amount,change_rate,turnover_rate,volume,amount,market_value,l_market_value
2015-01-05,601919,7.52,7.65,7.22,7.22,7.2,0.32,4.4444,1.7717,135278480.0,1007440095.0,76826383164.6,57420271164.6
2015-01-06,601919,7.95,8.2,7.57,7.57,7.52,0.43,5.7181,2.58,196997969.0,1561704362.0,81219381138.1,60703611138.2
2015-01-07,601919,7.88,8.14,7.68,8.04,7.95,-0.07,-0.8805,1.5928,121624617.0,952434703.0,80504241933.2,60169113933.2
2015-01-08,601919,7.51,7.95,7.48,7.95,7.88,-0.37,-4.6954,1.4428,110166022.0,842274154.0,76724220421.1,57343914421.1
2015-01-09,601919,7.29,7.59,7.14,7.45,7.51,-0.22,-2.9294,1.5433,117841854.0,862492572.0,74476640062.5,55664066062.5
2015-01-12,601919,6.94,7.18,6.85,7.14,7.29,-0.35,-4.8011,1.0172,77672100.0,545138557.0,70900944037.6,52991580037.6
2015-01-13,601919,6.93,7.13,6.86,7.09,6.94,-0.01,-0.1441,0.6937,52970953.0,369833427.0,70798781294.0,52915223294.0
2015-01-14,601919,6.75,6.96,6.63,6.93,6.93,-0.18,-2.5974,0.7899,60317450.0,408945495.0,68959851909.8,51540801909.8
2015-01-15,601919,7.11,7.12,6.66,6.71,6.75,0.36,5.3333,0.8423,64311556.0,442727327.0,72637710678.3,54289644678.3
2015-01-16,601919,7.07,7.17,7.0,7.13,7.11,-0.04,-0.5626,0.7567,57780032.0,408990668.0,72229059704.0,53984217704.0
2015-01-19,601919,6.36,6.83,6.36,6.7,7.07,-0.71,-10.0424,1.2123,92563512.0,605216281.0,64975504910.5,48562888910.5
2015-01-20,601919,6.45,6.53,6.27,6.32,6.36,0.09,1.4151,0.9169,70012984.0,448405171.0,65894969602.7,49250099602.7
2015-01-21,601919,6.77,6.9,6.45,6.47,6.45,0.32,4.9612,1.1129,84978097.0,567625300.0,69164177396.9,51693515396.9
2015-01-22,601919,6.78,6.8,6.66,6.78,6.77,0.01,0.1477,0.6907,52738297.0,356099188.0,69266340140.5,51769872140.5
2015-01-23,601919,6.76,6.95,6.71,6.8,6.78,-0.02,-0.295,0.733,55969071.0,381615793.0,69062014653.3,51617158653.3
2015-01-26,601919,6.86,6.87,6.7,6.79,6.76,0.1,1.4793,0.5819,44428238.0,301577252.0,70083642089.0,52380726089.0
2015-01-27,601919,6.74,6.91,6.57,6.88,6.86,-0.12,-1.7493,0.665,50773650.0,342024985.0,68857689166.2,51464445166.2
2015-01-28,601919,6.59,6.68,6.55,6.68,6.74,-0.15,-2.2255,0.6008,45873096.0,302793374.0,67325248012.6,50319094012.6
2015-01-29,601919,6.5,6.55,6.41,6.51,6.59,-0.09,-1.3657,0.5213,39806852.0,257875836.0,66405783320.5,49631883320.5
2015-01-30,601919,6.43,6.65,6.4,6.6,6.5,-0.07,-1.0769,0.4847,37006757.0,241435570.0,65690644115.5,49097386115.5
2015-02-02,601919,6.18,6.3,6.1,6.1,6.43,-0.25,-3.888,0.4974,37982943.0,235854766.0,63136575526.3,47188467526.3
2015-02-03,601919,6.28,6.29,6.15,6.18,6.18,0.1,1.6181,0.4402,33613878.0,208780853.0,64158202962.0,47952034962.0
2015-02-04,601919,6.22,6.36,6.2,6.32,6.28,-0.06,-0.9554,0.3808,29074591.0,183140090.0,63545226500.5,47493894500.5
2015-02-05,601919,6.11,6.37,6.09,6.33,6.22,-0.11,-1.7685,0.4269,32600316.0,203049264.0,62421436321.3,46653970321.3
2015-02-06,601919,5.82,6.09,5.77,6.09,6.11,-0.29,-4.7463,0.727,55508816.0,326221944.0,59458716757.7,44439624757.7
2015-02-09,601919,5.74,5.8,5.59,5.79,5.82,-0.08,-1.3746,0.5903,45074715.0,256218987.0,58641414809.2,43828770809.2
