time,code,close,high,low,open,pre-close,change_amount,change_rate,turnover_rate,volume,amount,market_value,l_market_value
2021-08-20,601728,6.11,6.52,4.58,4.79,4.53,1.58,34.8786,67.1377,3884664313.0,20105590935.0,558017156923.0,35353151529.8
2021-08-23,601728,5.5,5.5,5.5,5.5,6.11,-0.61,-9.9836,5.3745,310972400.0,1710348200.0,502306769734.0,31823622490.0
2021-08-24,601728,4.95,4.95,4.95,4.95,5.5,-0.55,-10.0,7.0271,406597500.0,2012657625.0,452076092761.0,28641260241.0
2021-08-25,601728,4.83,5.14,4.77,4.95,4.95,-0.12,-2.4242,36.0188,2084090257.0,10182275515.0,441116672330.0,27946926659.4
2021-08-26,601728,4.71,4.84,4.62,4.73,4.83,-0.12,-2.4845,23.8787,1381649325.0,6471125818.0,430157251899.0,27252593077.8
2021-08-27,601728,4.61,4.7,4.6,4.66,4.71,-0.1,-2.1231,15.8222,915488263.0,4241738649.0,421024401541.0,26673981759.8
2021-08-30,601728,4.64,4.67,4.58,4.62,4.61,0.03,0.6508,14.3157,828324060.0,3821401677.0,423764256648.0,26847565155.2
2021-08-31,601728,4.56,4.62,4.55,4.61,4.64,-0.08,-1.7241,12.8381,742828837.0,3392268860.0,416457976361.0,26384676100.8
2021-09-01,601728,4.58,4.61,4.54,4.55,4.56,0.02,0.4386,11.9548,691719415.0,3164104039.0,418284546433.0,26500398364.4
2021-09-02,601728,4.56,4.57,4.54,4.56,4.58,-0.02,-0.4367,10.3502,598877045.0,2724702722.0,416457976361.0,26384676100.8
2021-09-03,601728,4.54,4.55,4.53,4.55,4.56,-0.02,-0.4386,9.6941,560911938.0,2547149313.0,414631406290.0,26268953837.2
2021-09-06,601728,4.55,4.58,4.53,4.54,4.54,0.01,0.2203,10.3006,596007077.0,2710518570.0,415544691325.0,26326814969.0
2021-09-07,601728,4.54,4.55,4.53,4.54,4.55,-0.01,-0.2198,8.6076,498043233.0,2260798203.0,414631406290.0,26268953837.2
2021-09-08,601728,4.54,4.55,4.53,4.54,4.54,0.0,0.0,7.9142,457927355.0,2078538311.0,414631406290.0,26268953837.2
2021-09-09,601728,4.54,4.55,4.53,4.54,4.54,0.0,0.0,7.2496,419472206.0,1903991706.0,414631406290.0,26268953837.2
2021-09-10,601728,4.53,4.55,4.53,4.54,4.54,-0.01,-0.2203,6.9519,402243804.0,1825151136.0,413718121254.0,26211092705.4
2021-09-13,601728,4.54,4.54,4.53,4.53,4.53,0.01,0.2208,5.9328,343276822.0,1556374121.0,414631406290.0,26268953837.2
2021-09-14,601728,4.53,4.54,4.53,4.54,4.54,-0.01,-0.2203,7.0562,408281625.0,1850571691.0,413718121254.0,26211092705.4
2021-09-15,601728,4.53,4.54,4.53,4.53,4.53,0.0,0.0,5.8602,339075112.0,1536797205.0,413718121254.0,26211092705.4
